lon,lat,type,loctype,address,north,south,east,west,locality,postal_town,administrative_area_level_2,administrative_area_level_1,country,administrative_area_level_4,postal_code,route,neighborhood,political,establishment,street_number,administrative_area_level_3,locality.1,premise,campground,colloquial_area,bus_station,subpremise,postal_code_suffix,route.1,bar,political.1,premise.1,art_gallery,airport,archipelago
-2.385503,54.469006,locality,approximate,"waitby, kirkby stephen ca17 4hf, uk",54.4754899,54.4625211,-2.3694956,-2.4015104,Waitby,Kirkby Stephen,Cumbria,England,United Kingdom,NA,CA17 4HF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.51796,54.615036,locality,approximate,"long marton, appleby-in-westmorland ca16 6bj, uk",54.62149669999999,54.6085743,-2.5019526,-2.5339674,Long Marton,Appleby-in-Westmorland,Cumbria,England,United Kingdom,NA,CA16 6BJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.4194,54.481119,locality,approximate,"crosby garrett, kirkby stephen ca17 4pw, uk",54.487601,54.474636,-2.4033926,-2.4354074,Crosby Garrett,Kirkby Stephen,Cumbria,England,United Kingdom,NA,CA17 4PW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.649503,54.368573,locality,approximate,"grayrigg, kendal la8 9bu, uk",54.37507280000001,54.3620722,-2.6334956,-2.6655104,Grayrigg,Kendal,Cumbria,England,United Kingdom,NA,LA8 9BU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7134287,54.4100626,route,geometric_center,"wathcote cl, richmond dl10 7dx, uk",54.4116368302915,54.4089388697085,-1.712039219708498,-1.714737180291502,NA,Richmond,North Yorkshire,England,United Kingdom,NA,DL10 7DX,Wathcote Close,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.826792,54.309591,locality,approximate,"leyburn dl8, uk",54.31779820000001,54.30143839999999,-1.8110449,-1.8430842,Leyburn,Leyburn,North Yorkshire,England,United Kingdom,NA,DL8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2252172,53.6293731,neighborhood,approximate,"wolstenholme, rochdale ol12 7ug, uk",53.6359893,53.6227558,-2.2092098,-2.2412246,NA,Rochdale,Greater Manchester,England,United Kingdom,NA,OL12 7UG,NA,Wolstenholme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.19964,53.618189,political,approximate,"bagslate moor, rochdale ol11 5rb, uk",53.624807,53.61157000000001,-2.1836326,-2.2156474,NA,Rochdale,Greater Manchester,England,United Kingdom,NA,OL11 5RB,NA,NA,Bagslate Moor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7765105,53.34368139999999,locality,approximate,"castleton, hope valley s33, uk",53.3460937,53.339535,-1.7692815,-1.7819689,Castleton,Hope Valley,Derbyshire,England,United Kingdom,NA,S33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1561,53.6097136,locality,approximate,"rochdale, uk",53.67075209999999,53.5780313,-2.1117023,-2.2717896,Rochdale,NA,Greater Manchester,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.517168,54.52190599999999,locality,approximate,"cleator moor, uk",54.5354419,54.5141223,-3.4892281,-3.5457128,Cleator Moor,NA,Cumbria,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1092822,53.6094948,route,geometric_center,"dale st, milnrow, rochdale ol16, uk",53.6112943,53.60695699999999,-2.1066896,-2.1131662,Milnrow,Rochdale,Greater Manchester,England,United Kingdom,NA,OL16,Dale Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.025206,52.65316199999999,locality,approximate,"rowley, shrewsbury sy5 9rz, uk",52.6599303,52.6463926,-3.0091986,-3.0412134,Rowley,Shrewsbury,Shropshire,England,United Kingdom,NA,SY5 9RZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.351814,53.80665699999999,locality,approximate,"simonstone, burnley bb12, uk",53.8151704,53.7935014,-2.3334995,-2.3557426,Simonstone,Burnley,Lancashire,England,United Kingdom,NA,BB12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.315723,53.802132,locality,approximate,"padiham, burnley bb12, uk",53.814587,53.7893676,-2.2959043,-2.342305,Padiham,Burnley,Lancashire,England,United Kingdom,NA,BB12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.521636,53.780491,locality,approximate,"rowley, cottingham hu20 3xr, uk",53.78708349999999,53.7738974,-0.5056286,-0.5376434,Rowley,Cottingham,East Riding of Yorkshire,England,United Kingdom,NA,HU20 3XR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2407709,53.79149779999999,establishment,geometric_center,"bank parade, burnley bb11 1dy, uk",53.79284678029149,53.79014881970849,-2.239421919708498,-2.242119880291502,NA,Burnley,Lancashire,England,United Kingdom,NA,BB11 1DY,Bank Parade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1604712,53.6252675,route,geometric_center,"turner st, rochdale ol12, uk",53.6265010302915,53.6238030697085,-2.159023819708498,-2.161721780291502,NA,Rochdale,Greater Manchester,England,United Kingdom,NA,OL12,Turner Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1187109,53.64822400000001,political,approximate,"shore, littleborough, rochdale ol12 9ly, uk",53.6548373,53.6416097,-2.1027035,-2.1347183,Littleborough,Rochdale,Greater Manchester,England,United Kingdom,NA,OL12 9LY,NA,NA,Shore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.138056,53.657222,establishment,approximate,"watergrove reservoir, wardle, rochdale ol12 9nj, uk",53.6638339,53.6506091,-2.1220486,-2.1540634,Wardle,Rochdale,Greater Manchester,England,United Kingdom,NA,OL12 9NJ,NA,NA,NA,Watergrove Reservoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.175405,53.574617,clothing_store,geometric_center,"middleton, manchester m24 2re, uk",53.57596598029151,53.57326801970851,-2.174056019708499,-2.176753980291502,Middleton,Manchester,Greater Manchester,England,United Kingdom,NA,M24 2RE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.696713,53.680122,locality,approximate,"mirfield, uk",53.6967572,53.6510591,-1.6609998,-1.7339959,Mirfield,NA,West Yorkshire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.0305305,53.7278871,administrative_area_level_4,approximate,"erringden, uk",53.7402072,53.71351180000001,-2.0049119,-2.0546516,NA,NA,West Yorkshire,England,United Kingdom,Erringden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2143432,53.557742,establishment,geometric_center,"wood st, middleton, manchester m24 5qh, uk",53.5590909802915,53.5563930197085,-2.212994219708498,-2.215692180291502,Middleton,Manchester,Greater Manchester,England,United Kingdom,NA,M24 5QH,Wood Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.138056,53.657222,establishment,approximate,"watergrove reservoir, wardle, rochdale ol12 9nj, uk",53.6638339,53.6506091,-2.1220486,-2.1540634,Wardle,Rochdale,Greater Manchester,England,United Kingdom,NA,OL12 9NJ,NA,NA,NA,Watergrove Reservoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.138056,53.657222,establishment,approximate,"watergrove reservoir, wardle, rochdale ol12 9nj, uk",53.6638339,53.6506091,-2.1220486,-2.1540634,Wardle,Rochdale,Greater Manchester,England,United Kingdom,NA,OL12 9NJ,NA,NA,NA,Watergrove Reservoir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1361119,53.64776999999999,locality,approximate,"wardle, uk",53.6857188,53.6410023,-2.1087428,-2.1641684,Wardle,NA,Greater Manchester,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.696713,53.680122,locality,approximate,"mirfield, uk",53.6967572,53.6510591,-1.6609998,-1.7339959,Mirfield,NA,West Yorkshire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-122.8691609,38.6104658,locality,approximate,"healdsburg, ca 95448, usa",38.647655,38.593314,-122.842618,-122.88694,Healdsburg,NA,Sonoma County,California,United States,NA,95448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2966054,53.5933498,locality,approximate,"bury, uk",53.6447333,53.5497338,-2.2425392,-2.3518793,Bury,NA,Greater Manchester,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.013021,53.74330399999999,locality,approximate,"hebden bridge hx7, uk",53.7588659,53.7317091,-1.984379,-2.040397,Hebden Bridge,Hebden Bridge,West Yorkshire,England,United Kingdom,NA,HX7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.0987969,53.716344,locality,approximate,"todmorden, uk",53.7496608,53.6701455,-2.0296416,-2.1732938,Todmorden,NA,West Yorkshire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.0838658,53.95170239999999,route,geometric_center,"ebor st, york yo23, uk",53.9531327302915,53.9504347697085,-1.082523269708498,-1.085221230291502,NA,York,York,England,United Kingdom,NA,YO23,Ebor Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.093367,53.646141,locality,approximate,"littleborough, uk",53.6836764,53.5924398,-2.02687,-2.1237275,Littleborough,NA,Greater Manchester,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.0497474,53.8187343,route,geometric_center,"topping st, blackpool fy1, uk",53.82049558029151,53.81779761970851,-3.048848419708498,-3.051546380291502,NA,Blackpool,Blackpool,England,United Kingdom,NA,FY1,Topping Street,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.632596,53.653511,locality,approximate,"chorley, uk",53.6751527,53.6191334,-2.5926467,-2.6645299,Chorley,Chorley,Lancashire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.611956,53.622512,establishment,geometric_center,"rawlinson ln, heath charnock, chorley pr7 4ep, uk",53.6238609802915,53.6211630197085,-2.610607019708498,-2.613304980291502,Heath Charnock,Chorley,Lancashire,England,United Kingdom,NA,PR7 4EP,Rawlinson Lane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.316973,52.375539,locality,approximate,"bewdley, uk",52.3926525,52.35234209999999,-2.2773273,-2.3658184,Bewdley,NA,Worcestershire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.074088,52.56559499999999,locality,approximate,"bilston, uk",52.5803714,52.53386649999999,-2.0477694,-2.1155127,Bilston,NA,West Midlands,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.9392497,52.5143881,political,approximate,"handsworth, birmingham, uk",52.5186518,52.500955,-1.8852682,-1.9557061,NA,Birmingham,West Midlands,England,United Kingdom,NA,NA,NA,NA,Handsworth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.965207,52.492401,locality,approximate,"smethwick, uk",52.5078291,52.4663152,-1.9381585,-2.0009276,Smethwick,NA,West Midlands,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.234163,52.419277,locality,approximate,"cookley, kidderminster, uk",52.43673159999999,52.401731,-2.1858141,-2.2521293,Cookley,Kidderminster,Worcestershire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.2496839,52.388596,locality,approximate,"kidderminster, uk",52.4074068,52.3556602,-2.206665,-2.2871651,Kidderminster,NA,Worcestershire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.70309,53.763201,locality,approximate,"preston, uk",53.7924911,53.74802099999999,-2.63028,-2.7640235,Preston,Preston,Lancashire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.9994257,54.3757761,locality,approximate,"hawkshead, ambleside la22, uk",54.3789686,54.3715554,-2.9943548,-3.0048376,Hawkshead,Ambleside,Cumbria,England,United Kingdom,NA,LA22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.2213726,54.8082636,locality,approximate,"kells, ballymena bt42, uk",54.81172489999999,54.8002292,-6.215703299999999,-6.228480999999999,Kells,Ballymena,Ballymena,Northern Ireland,United Kingdom,NA,BT42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.134706,54.601276,locality,approximate,"keswick ca12, uk",54.61398029999999,54.5910713,-3.1040351,-3.1565245,Keswick,Keswick,Cumbria,England,United Kingdom,NA,CA12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.771983,55.95647599999999,locality,approximate,"greenock, uk",55.9721554,55.919477,-4.6969154,-4.8558998,Greenock,NA,Inverclyde,Scotland,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.708232,54.257645,locality,approximate,"endmoor, kendal la8 0hd, uk",54.2641623,54.2511266,-2.6922246,-2.7242394,Endmoor,Kendal,Cumbria,England,United Kingdom,NA,LA8 0HD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.8990653,52.4781776,establishment,rooftop,"16a stephenson pl, birmingham b2 4bf, uk",52.4795265802915,52.4768286197085,-1.897716319708498,-1.900414280291502,NA,Birmingham,West Midlands,England,United Kingdom,NA,B2 4BF,Stephenson Place,NA,NA,NA,16A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.890401,52.48624299999999,locality,approximate,"birmingham, uk",52.5688762,52.385999,-1.7098294,-2.0174336,Birmingham,Birmingham,West Midlands,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.502526,51.415059,locality,approximate,"keynsham, bristol, uk",51.4347791,51.3902435,-2.4606532,-2.5348386,Keynsham,Bristol,Bath and North East Somerset,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.58791,51.454513,locality,approximate,"bristol, uk",51.5444326,51.39254529999999,-2.4509024,-2.7305326,Bristol,NA,City of Bristol,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.7557509,51.248366,locality,approximate,"aldershot, uk",51.2754071,51.2304577,-0.7304843,-0.7868499,Aldershot,NA,Hampshire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8918740000000001,51.895927,locality,approximate,"colchester, uk",51.9290019,51.8432281,0.9626118999999999,0.8446825,Colchester,Colchester,Essex,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.5629067,-28.8379654,locality,approximate,"ballina nsw 2478, australia",-28.7954794,-28.8752649,153.5833137,153.5325882,Ballina,NA,Ballina Shire Council,New South Wales,Australia,NA,2478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.9175382,52.4949192,political,approximate,"hockley, birmingham b18 5pp, uk",52.501712,52.4881253,-1.9015308,-1.9335456,NA,Birmingham,West Midlands,England,United Kingdom,NA,B18 5PP,NA,NA,Hockley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.890401,52.48624299999999,locality,approximate,"birmingham, uk",52.5688762,52.385999,-1.7098294,-2.0174336,Birmingham,Birmingham,West Midlands,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.9199349,54.9121343,route,geometric_center,"whiteclosegate, carlisle ca3, uk",54.9138424,54.9102936,-2.9177355,-2.9222705,NA,Carlisle,Cumbria,England,United Kingdom,NA,CA3,Whiteclosegate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.932931,54.892473,locality,approximate,"carlisle, uk",54.9351411,54.8648239,-2.8800731,-2.9934617,Carlisle,Carlisle,Cumbria,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.940373,54.905918,political,approximate,"stanwix, carlisle ca3 9jd, uk",54.9123324,54.8995025,-2.9243656,-2.9563804,NA,Carlisle,Cumbria,England,United Kingdom,NA,CA3 9JD,NA,NA,Stanwix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.383801,54.906869,locality,approximate,"sunderland, uk",54.9441711,54.8471515,-1.3456649,-1.4664999,Sunderland,Sunderland,Tyne and Wear,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.885174,54.9942,locality,approximate,"kirklinton, carlisle ca6 6ba, uk",55.0006004,54.9877986,-2.8691666,-2.9011814,Kirklinton,Carlisle,Cumbria,England,United Kingdom,NA,CA6 6BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.7110238,54.906935,establishment,geometric_center,"chapel house caravan park, chapel house farm, brampton ca8 1lp, united kingdom",54.9082839802915,54.9055860197085,-2.709674819708498,-2.712372780291502,NA,Brampton,NA,NA,United Kingdom,NA,CA8 1LP,NA,NA,NA,Chapel House Caravan Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-73.98640379999999,40.7520899,establishment,rooftop,"1001 6th ave, new york, ny 10018, usa",40.7534388802915,40.7507409197085,-73.98505481970848,-73.98775278029149,New York,NA,New York County,New York,United States,NA,10018,6th Avenue,NA,Manhattan,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.1581086,52.95478319999999,locality,approximate,"nottingham, uk",53.019045,52.889,-1.0918336,-1.2482899,Nottingham,Nottingham,Nottinghamshire,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.0568451,-26.1016944,establishment,geometric_center,"24, 6 gwen ln & fredman drive, sandton, johannesburg, 2129, south africa",-26.1003454197085,-26.1030433802915,28.0581940802915,28.0554961197085,Johannesburg,NA,NA,NA,South Africa,NA,2129,NA,NA,Sandton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.520551,54.508427,locality,approximate,"cleator, uk",54.5179628,54.5019618,-3.4969588,-3.5319253,Cleator,NA,Cumbria,England,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.2146117,54.9529471,bar,geometric_center,"bowness-on-solway, wigton ca7 5af, united kingdom",54.95429608029149,54.95159811970849,-3.213262719708498,-3.215960680291502,NA,Wigton,NA,NA,United Kingdom,NA,CA7 5AF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.9990959,54.3747211,bar,geometric_center,"the square, hawkshead, ambleside la22 0nz, uk",54.3760700802915,54.3733721197085,-2.997746919708498,-3.000444880291502,Hawkshead,Ambleside,Cumbria,England,United Kingdom,NA,LA22 0NZ,The Square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-105.804125,53.022157,locality,approximate,"red deer hill, sk s0j 2c0, canada",53.0288681,53.0154449,-105.7881176,-105.8201324,Red Deer Hill,NA,Division No. 15,Saskatchewan,Canada,NA,S0J 2C0,NA,NA,NA,NA,NA,Prince Albert No. 461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
